Representation,Level,Band,Channel,Feature,Window_Length_s,Entropy_Bins,Baseline_Median_Entropy_bits,Modulation_Median_Entropy_bits,Delta_Entropy_ModMinusBase_bits,Delta_Sign,Baseline_N_Valid_Windows,Modulation_N_Valid_Windows,Entropy_Definition
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,120,64,4.31556974,3.700055721,-0.6155140193,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,10,16,2.272465576,1.763491035,-0.5089745405,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,10,32,3.139290731,2.599557775,-0.5397329567,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,10,64,4.002166846,3.483327483,-0.5188393632,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,30,16,2.486661438,1.915563385,-0.5710980533,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,30,32,3.418268444,2.787625416,-0.6306430277,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,30,64,4.351920112,3.731799137,-0.6201209745,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,60,16,2.579640654,2.011838877,-0.5678017769,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,60,32,3.54171219,2.935068318,-0.6066438723,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,60,64,4.498512856,3.898385499,-0.6001273566,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,120,16,2.637654728,2.033672851,-0.6039818761,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,120,32,3.599898767,2.975668224,-0.6242305429,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
