Scope,Dimension,Baseline_Median,Baseline_Q25,Baseline_Q75,Applied_Scale,Scale_Source,NearZero_Guard_Applied
Whole_State,Gamma.P8,0.4122715,0.32529675,0.51635725,0.19106049999999997,baseline_IQR,False
Whole_State,Gamma.P4,0.2441605,0.20291,0.2960605,0.0931505,baseline_IQR,False
Whole_State,Gamma.CP2,0.201043,0.165868,0.24392550000000002,0.07805750000000003,baseline_IQR,False
Whole_State,Gamma.CP6,0.299404,0.24511125,0.35948625,0.114375,baseline_IQR,False
Whole_State,Gamma.T8,0.2151865,0.1770695,0.26013149999999996,0.08306199999999997,baseline_IQR,False
Whole_State,Gamma.FT10,0.178611,0.14810475,0.21526525,0.06716049999999998,baseline_IQR,False
Whole_State,Gamma.FC6,0.2675425,0.21622924999999998,0.332157,0.11592775,baseline_IQR,False
Whole_State,Gamma.C4,0.252416,0.206338,0.30908603198984724,0.10274803198984725,baseline_IQR,False
Whole_State,Gamma.FC2,0.2041215,0.169369,0.2490525,0.07968350000000002,baseline_IQR,False
Whole_State,Gamma.F4,0.28454,0.22827025,0.36170349999999996,0.13343324999999995,baseline_IQR,False
Whole_State,Gamma.F8,0.3236085,0.25716399999999995,0.4124995,0.15533550000000007,baseline_IQR,False
Whole_State,Gamma.Fp2,0.35503978968997896,0.28317375,0.453603,0.17042924999999998,baseline_IQR,False
Regional_State,Theta.Anterior,3.0211965,2.0444201250000003,4.364150125,2.31973,baseline_IQR,False
Regional_State,Theta.Central,2.71936,1.78627725,4.12401824415239,2.3377409941523903,baseline_IQR,False
Regional_State,Theta.Frontal,2.9277505,2.0054394999999996,4.26521375,2.2597742500000004,baseline_IQR,False
Regional_State,Theta.FrontoCentral,2.16420675,1.472355,3.1735917500000004,1.7012367500000003,baseline_IQR,False
Regional_State,Theta.Occipital,1.905548,1.27666275,2.85337825,1.5767155,baseline_IQR,False
Regional_State,Theta.Parietal,1.6454795,1.1156785,2.4484719999999998,1.3327934999999997,baseline_IQR,False
Regional_State,Theta.Temporal,1.9656387499999999,1.354786125,2.9007614999999998,1.5459753749999998,baseline_IQR,False
Regional_State,Alpha.Anterior,6.76946425,4.16028463281845,10.684700625,6.52441599218155,baseline_IQR,False
Regional_State,Alpha.Central,5.337402,3.347277,8.51097725,5.16370025,baseline_IQR,False
Regional_State,Alpha.Frontal,5.799269,3.6481645,9.18140825,5.5332437500000005,baseline_IQR,False
Regional_State,Alpha.FrontoCentral,3.96492525,2.5597165,6.185230875,3.6255143750000003,baseline_IQR,False
Regional_State,Alpha.Occipital,9.4052615,4.150404249999999,17.96415575,13.8137515,baseline_IQR,False
Regional_State,Alpha.Parietal,5.3808865,2.845755,9.850997,7.005241999999999,baseline_IQR,False
Regional_State,Alpha.Temporal,3.5872265,2.46414825,5.216364125,2.752215875,baseline_IQR,False
Regional_State,BetaL.Anterior,1.5994697500000001,1.0944188750000001,2.35843675,1.264017875,baseline_IQR,False
Regional_State,BetaL.Central,1.7501405,1.16314825,2.5587205,1.39557225,baseline_IQR,False
Regional_State,BetaL.Frontal,1.5622829999999999,1.0626585,2.304869,1.2422105,baseline_IQR,False
Regional_State,BetaL.FrontoCentral,1.2224895,0.826756,1.7919343749999999,0.9651783749999998,baseline_IQR,False
Regional_State,BetaL.Occipital,1.7549275,1.194855,2.52688775,1.3320327500000002,baseline_IQR,False
Regional_State,BetaL.Parietal,1.2877885,0.87856525,1.85507975,0.9765145000000001,baseline_IQR,False
Regional_State,BetaL.Temporal,1.0900767500000001,0.777721125,1.53388675,0.756165625,baseline_IQR,False
