Session,Representation,Level,Band,Channel,Feature,Window_Index,Window_Start_s,Window_End_s,N_Samples,Observed_LZC,Surrogate_LZC_Median,Surrogate_LZC_Mean,Surrogate_LZC_SD,Observed_to_MedianSurrogate_Ratio,Observed_vs_Surrogate_Z,Surrogate_Method,Surrogate_Iterations,Random_Seed
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,71,710,720,80,0.5531687083,0.6321928095,0.6124367842,0.09550239395,0.875,-0.6205925677,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,72,720,730,80,0.869265113,0.7902410119,0.7902410119,0.1202566503,1.1,0.6571287407,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,73,730,740,80,0.6321928095,0.5531687083,0.5689735285,0.1044604293,1.142857143,0.6051983644,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,74,740,750,80,0.5531687083,0.7112169107,0.7230705259,0.08982733447,0.7777777778,-1.891426686,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,75,750,760,80,0.6321928095,0.7507289613,0.7112169107,0.09593162036,0.8421052632,-0.823754471,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,76,760,770,80,0.6321928095,0.6321928095,0.6440464247,0.09341465778,1,-0.1268924541,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,77,770,780,80,0.6321928095,0.6321928095,0.6321928095,0.08881542233,1,1.250034054e-15,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,78,780,790,80,0.7112169107,0.6717048601,0.6875096803,0.1149465103,1.058823529,0.2062457598,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,79,790,800,80,0.7112169107,0.6321928095,0.6124367842,0.08835163106,1.125,1.118033989,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,80,800,810,80,0.5531687083,0.6321928095,0.6519488348,0.08056869224,0.875,-1.226036116,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,81,810,820,80,0.7112169107,0.6321928095,0.6559000398,0.1090779707,1.125,0.5071314627,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,82,820,830,80,0.6321928095,0.6321928095,0.6084855791,0.1060219573,1,0.2236067977,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,83,830,840,80,0.7112169107,0.7902410119,0.7704849866,0.1083978797,0.9,-0.5467641621,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,84,840,850,80,0.5531687083,0.6321928095,0.6361440145,0.1008586361,0.875,-0.8226891561,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,85,850,860,80,0.6321928095,0.6321928095,0.6559000398,0.1090779707,1,-0.2173420554,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,86,860,870,80,0.6321928095,0.6321928095,0.6400952196,0.1199830285,1,-0.06586273258,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,87,870,880,80,0.7112169107,0.5531687083,0.5768759387,0.06332317466,1.285714286,2.121513533,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,88,880,890,80,0.6321928095,0.5531687083,0.6045343741,0.08982733447,1.142857143,0.3079066698,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,89,890,900,80,0.7902410119,0.6717048601,0.6756560651,0.07463930996,1.176470588,1.535182289,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,90,900,910,80,0.6321928095,0.6321928095,0.6598512449,0.09341465778,1,-0.296082393,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,91,910,920,80,0.4741446071,0.6321928095,0.6361440145,0.09754545716,0.75,-1.660758093,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,92,920,930,80,0.7112169107,0.7112169107,0.7151681157,0.09055616861,1,-0.04363264392,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,93,930,940,80,0.6321928095,0.5531687083,0.6124367842,0.1199145254,1.142857143,0.1647508942,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,94,940,950,80,0.4741446071,0.6717048601,0.6717048601,0.1041453142,0.7058823529,-1.896967277,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,95,950,960,80,0.4741446071,0.869265113,0.8732163181,0.1160138174,0.5454545455,-3.439863628,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,96,960,970,80,0.869265113,0.6321928095,0.6598512449,0.09341465778,1.375,2.24176669,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,97,970,980,80,0.6321928095,0.7112169107,0.6875096803,0.07734254496,0.8888888889,-0.7152191703,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,98,980,990,80,0.7112169107,0.6717048601,0.6796072702,0.1099782168,1.058823529,0.2874172849,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,99,990,1000,80,0.5531687083,0.6321928095,0.6203391943,0.06422507607,0.875,-1.045860747,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,100,1000,1010,80,0.5531687083,0.7112169107,0.6756560651,0.1008586361,0.7777777778,-1.214445897,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,101,1010,1020,80,0.5531687083,0.6717048601,0.6361440145,0.1102021293,0.8235294118,-0.7529374142,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,102,1020,1030,80,0.7112169107,0.6321928095,0.6203391943,0.1125628176,1.125,0.8073511154,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,103,1030,1040,80,0.5531687083,0.7112169107,0.6993632955,0.09341465778,0.7777777778,-1.565006934,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,104,1040,1050,80,0.5531687083,0.5926807589,0.6163879893,0.1105743091,0.9333333333,-0.5717357085,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,105,1050,1060,80,0.5531687083,0.869265113,0.8337042675,0.1268408409,0.6363636364,-2.211713177,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,106,1060,1070,80,0.5531687083,0.5531687083,0.5768759387,0.06831670893,1,-0.3470195026,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,107,1070,1080,80,0.7112169107,0.6321928095,0.6440464247,0.08609066005,1.125,0.7802296552,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,108,1080,1090,80,0.7112169107,0.6321928095,0.667753655,0.08298025748,1.125,0.5237782693,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,109,1090,1100,80,0.7112169107,0.7112169107,0.7112169107,0.09929866089,1,0,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,110,1100,1110,80,0.7112169107,0.6717048601,0.6598512449,0.1034327951,1.058823529,0.4966090854,phase_randomized,20,1906
BASELINE_EC,FFT-derived POW,Band,Theta,ALL_CHANNELS_MEDIAN,BandMedian.Theta,111,1110,1120,80,0.5531687083,0.6717048601,0.6796072702,0.1006139323,0.8235294118,-1.256670513,phase_randomized,20,1906
