Track,Matched_Index,Progress_0_to_1,Baseline_Shannon_Entropy,Modulation_Shannon_Entropy,Delta_Shannon_Entropy_ModMinusBase,Baseline_Lempel_Ziv_Complexity,Modulation_Lempel_Ziv_Complexity,Delta_Lempel_Ziv_Complexity_ModMinusBase,Baseline_RegionalFlux_L2_per_s,Modulation_RegionalFlux_L2_per_s,Delta_RegionalFlux_L2_ModMinusBase,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,Band,Channel,Feature
POW_Feature,50,0.2777777777777778,3.793865292,2.486067023,-1.307798269,0.6321928095,0.7902410119,0.15804820239999995,21.8378546681685,13.48366404087889,-8.35419062728961,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,51,0.2833333333333333,3.911314345,2.700236759,-1.211077586,0.7902410119,0.6321928095,-0.15804820239999995,21.380549724131797,15.923896877959764,-5.456652846172032,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,52,0.2888888888888889,3.1969977450000004,3.0552166329999997,-0.14178111200000076,0.6321928095000023,0.5531687083000008,-0.07902410120000158,12.159628118038269,18.64305504824555,6.483426930207282,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,53,0.29444444444444445,3.252437664,3.000444575,-0.25199308899999995,0.869265113,0.6321928095,-0.23707230349999997,11.616468087190906,14.85650752421178,3.240039437020874,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,54,0.3,2.788262592,3.180940345,0.39267775299999963,0.5531687083,0.7112169107,0.15804820240000006,9.965199401698644,17.185738932751157,7.220539531052513,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,55,0.3055555555555556,3.057228719,2.957402059,-0.09982665999999973,0.869265113,0.5531687083,-0.3160964047,17.856320961013893,13.98148025132296,-3.8748407096909325,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,56,0.3111111111111111,2.76720669,2.895941777,0.12873508699999991,0.5531687083,0.7902410119,0.23707230359999998,12.198966718354033,20.56646467620409,8.367497957850059,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,57,0.31666666666666665,3.100969886,3.116416194,0.01544630800000002,0.6321928095,0.6321928095,0.0,16.69049645929887,12.4707497366664,-4.21974672263247,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,58,0.32222222222222224,2.44409709,2.777847011,0.3337499209999999,0.5531687083,0.4741446071,-0.07902410119999997,13.417800996417881,11.924709046182684,-1.493091950235197,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,59,0.3277777777777778,3.046479947,2.800344194,-0.2461357529999999,0.5531687083,0.6321928095,0.07902410120000003,16.470816219342385,11.274758233096101,-5.196057986246284,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,60,0.33333333333333337,3.5720871970000068,2.7744007359999943,-0.7976864610000125,0.39512050590000236,0.7902410118999976,0.39512050599999526,14.442145571496903,11.042827577405657,-3.3993179940912466,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,61,0.3388888888888889,4.249904665,2.217340678,-2.032563987,0.6321928095,0.5531687083,-0.07902410120000003,33.492237665248766,13.217424552024855,-20.27481311322391,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,62,0.34444444444444444,3.865884185,3.169011433,-0.696872752,0.7112169107,0.5531687083,-0.15804820240000006,27.925008307407023,17.769679173896215,-10.155329133510808,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,63,0.35000000000000003,3.0621440990000055,2.5358345549999965,-0.526309544000009,0.5531687083000015,0.4741446071000024,-0.07902410119999914,13.441524700190916,15.780656205225034,2.3391315050341177,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,64,0.35555555555555557,3.584482619,2.193205671,-1.3912769480000002,0.7112169107,0.7112169107,0.0,26.414208894881934,13.707265516243963,-12.706943378637972,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,65,0.3611111111111111,4.528501541,3.188008297,-1.3404932439999997,0.6321928095,0.7112169107,0.07902410120000003,25.59064819942627,19.721700099961467,-5.868948099464802,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,66,0.3666666666666667,4.221239188999994,2.300242877000005,-1.920996311999989,0.7902410118999992,0.31609640470000316,-0.474144607199996,32.27137856230747,11.11323629089531,-21.15814227141216,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,67,0.37222222222222223,3.627018049,2.778206009,-0.8488120400000003,0.7112169107,0.6321928095,-0.07902410120000003,18.275739107294864,13.445249652925089,-4.830489454369776,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,68,0.37777777777777777,4.075341338,3.466374999,-0.6089663390000002,0.5531687083,0.6321928095,0.07902410120000003,28.35362134867036,22.73233406507743,-5.6212872835929275,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,69,0.38333333333333336,3.971127473,2.611221751,-1.3599057220000002,0.5531687083,0.6321928095,0.07902410120000003,25.28763998109014,21.85049292551527,-3.437147055574872,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,70,0.3888888888888889,3.80467154,2.81125133,-0.99342021,0.6321928095,0.5531687083,-0.07902410120000003,23.5548223557996,18.45459566235384,-5.100226693445762,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,71,0.3944444444444445,4.284629352999996,2.9365589210000005,-1.3480704319999957,0.5531687083000008,0.6321928094999985,0.0790241011999977,26.152683548442617,20.820090416126806,-5.332593132315811,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,72,0.4,3.917730753,3.002987893,-0.91474286,0.6321928095,0.4741446071,-0.1580482024,23.22950025577466,12.10606159211876,-11.1234386636559,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
