Source_File,Dataset,Metric,Band,Envelope_Band,N_Edges,Mean,Median,SD,Min,P10,P25,P75,P90,Max,Mean_Baseline,Mean_Modulation,Mean_Delta,Median_Delta,Mean_Abs_Delta,Max_Abs_Delta
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,496,0.2547034024283441,0.1232869497012846,0.2775442142790513,0.0023403001083265,0.0118340509658444,0.0390661527933755,0.4247149873631107,0.7345303575110693,0.9803194226144212,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaH,Fast,496,0.2786234221821592,0.1954877182252166,0.2375917186898501,0.0068684312905265,0.0316046447842126,0.09195470307673,0.4219716364284012,0.6566953840619659,0.9505362256503578,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaH,Medium,496,0.2786048701877537,0.1955326242554121,0.2375898965089001,0.0068664619773654,0.0315955271161044,0.0919540357635558,0.4219295253799739,0.6566690207333998,0.9505316027741626,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaH,Slow,496,0.2801809187819402,0.1959155370554226,0.2390248401907709,0.006891601813506,0.0314945157776344,0.0913290318223298,0.4233450221962591,0.6591814402222775,0.9523676723692248,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,496,0.2682674345164577,0.1944923730137768,0.2346878784150853,0.006688165094537,0.0305119615660927,0.0734331844638341,0.3975270348232598,0.6369157657963526,0.943520360027886,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaL,Fast,496,0.3166865510888473,0.2230659631781824,0.2663248495937814,0.0097923719194551,0.0418453111675957,0.090498352896054,0.5335051174585178,0.7360389105498771,0.951837209120918,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaL,Medium,496,0.3166910313229522,0.2230824178338484,0.2663182070671049,0.0097926921476083,0.0418593645579138,0.0904844872073714,0.5335281969582266,0.7360302526944849,0.9518333754924042,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaL,Slow,496,0.3181462427336508,0.2241516547881389,0.2672371808859001,0.0093877137912759,0.0422453242943902,0.0948241693404555,0.5325813645982769,0.7408920809368333,0.9527712881568564,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,496,0.3105799910767196,0.2158131673454955,0.2632284364593925,0.0110303534591756,0.0418587836163845,0.0832037407145549,0.5271910176443625,0.7296847385032411,0.9484528525615628,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Gamma,Fast,496,0.1213651063135101,0.0657391887300725,0.1339854376342418,0.0015055219605002,0.010918733601425,0.0219979813694167,0.1791969592236973,0.326422148261709,0.6363172406084661,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Gamma,Medium,496,0.1213553567363028,0.065732961241671,0.1339835121380219,0.0015087959097872,0.0109149069109189,0.0219940222456774,0.1792257480379067,0.3263457095927023,0.6362858668300158,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Gamma,Slow,496,0.1217813448877328,0.0668883907386046,0.1346129263561236,0.0015475702337233,0.0108158456381187,0.0220946273446965,0.1796680892294767,0.327646642526639,0.6379729036125809,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,496,0.1168713604717452,0.0632149209422349,0.132921833770769,0.0011131792478383,0.009134330564936,0.0198299663201195,0.1695952008155609,0.3129813690061466,0.6300900917663953,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Theta,Fast,496,0.3659410322735433,0.3583668486515503,0.1680776376826141,0.0646655434227485,0.1693723773093775,0.2245471014240523,0.4716759422537496,0.5943472872266194,0.9155287158228812,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Theta,Medium,496,0.365921590215495,0.3583299326619718,0.168073313962001,0.0646780436858275,0.169334918182597,0.2245308015627018,0.471646663522721,0.5942938167623646,0.9155304058461196,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Theta,Slow,496,0.3693003415202855,0.3614058293477831,0.168025794631517,0.0635714290131766,0.174177379275905,0.2284680611485888,0.4724821701669456,0.5954207281234618,0.916100489684764,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,496,0.3514137234348492,0.336590375084707,0.1728753461918121,0.0597272944342289,0.1495307553262592,0.2058577618692857,0.4529441409619404,0.5945495844588147,0.9103044893471968,,,,,,
BASELINE_EC__POW_Gamma__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Gamma,Fast,496,0.1213651063135101,0.0657391887300725,0.1339854376342418,0.0015055219605002,0.010918733601425,0.0219979813694167,0.1791969592236973,0.326422148261709,0.6363172406084661,,,,,,
BASELINE_EC__POW_Gamma__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Gamma,Medium,496,0.1213553567363028,0.065732961241671,0.1339835121380219,0.0015087959097872,0.0109149069109189,0.0219940222456774,0.1792257480379067,0.3263457095927023,0.6362858668300158,,,,,,
